row_type,username,email,role,dob,division,roll_no,course,department,subjects,experience,question_id,rating,teacher_email,comment,subject,description,status
USER,varun_kumar46,varun.kumar24@college.edu,student,2004-06-18,EXTC-B,EX079,B.Tech EXTC,,,,,,,,,,
USER,aadhya_mehta30,aadhyamehta34@college.edu,student,2003-07-03,MECH-B,ME188,B.Tech Mechanical,,,,,,,,,,
USER,hemant_jadhav15,hemant.jadhav85@college.edu,student,2005-07-01,IT-A,IT076,B.Tech IT,,,,,,,,,,
USER,swati_deshmukh98,swatideshmukh73@college.edu,student,2004-05-13,IT-B,IT010,B.Tech IT,,,,,,,,,,
USER,manav_pandey75,manavpandey4@college.edu,student,2004-10-22,IT-B,IT149,B.Tech IT,,,,,,,,,,
USER,vivaan_sharma31,vivaan.sharma85@college.edu,student,2002-06-09,MECH-B,EL004,B.Tech Electronics,,,,,,,,,,
USER,mitali_joshi66,mitali.joshi83@college.edu,student,2004-09-24,EXTC-A,EX020,B.Tech EXTC,,,,,,,,,,
USER,ankit_singh56,ankit_singh76@college.edu,student,2004-06-04,IT-B,EL061,B.Tech Electronics,,,,,,,,,,
USER,kabir_khanna14,kabir.khanna73@college.edu,student,2002-01-25,CS-B,CS182,B.Tech CS,,,,,,,,,,
USER,rupal_yadav76,rupalyadav28@college.edu,student,2000-01-11,IT-A,EL130,B.Tech Electronics,,,,,,,,,,
USER,riya_das49,riyadas56@college.edu,student,2000-02-13,EXTC-B,EX190,B.Tech EXTC,,,,,,,,,,
USER,komal_saxena32,komal.saxena23@college.edu,student,2000-12-08,MECH-A,ME079,B.Tech Mechanical,,,,,,,,,,
USER,swati_sharma48,swatisharma42@college.edu,student,2002-08-15,CS-B,CS098,B.Tech CS,,,,,,,,,,
USER,myra_roy34,myra_roy98@college.edu,student,2001-08-21,IT-B,IT120,B.Tech IT,,,,,,,,,,
USER,kunal_srivastava58,kunalsrivastava5@college.edu,student,2004-02-19,EXTC-B,EX003,B.Tech EXTC,,,,,,,,,,
USER,komal_sharma74,komalsharma86@college.edu,student,2001-07-09,MECH-A,ME070,B.Tech Mechanical,,,,,,,,,,
USER,shivani_kumar39,shivani.kumar29@college.edu,student,2003-11-10,EXTC-A,EX104,B.Tech EXTC,,,,,,,,,,
USER,mohit_roy98,mohit.roy68@college.edu,student,2005-02-08,EXTC-B,EX105,B.Tech EXTC,,,,,,,,,,
USER,riya_sharma74,riya_sharma24@college.edu,student,2002-03-22,CS-B,EL107,B.Tech Electronics,,,,,,,,,,
USER,tushar_reddy65,tushar_reddy8@college.edu,student,2003-08-02,MECH-A,EL041,B.Tech Electronics,,,,,,,,,,
USER,yash_patel1,yashpatel53@college.edu,student,2001-12-02,EXTC-B,EX095,B.Tech EXTC,,,,,,,,,,
USER,jyoti_rao30,jyotirao6@college.edu,student,2001-08-08,IT-B,IT007,B.Tech IT,,,,,,,,,,
